statement,file_path,INCLUDE,INCLUDE_PATH,DEPENDENCY_EXISTS,LIBNAME,MACRO_DEF,MACRO_CALL,tables_sourcejoin,tables_table,source,input_table,output_table,WRITE_BACK,MISSING_LIBNAME
proc sort,SAS Files\adam_adef.sas,,,,,,,,,,,,No,
data = adam.adsl,SAS Files\adam_adef.sas,,,,,,,,,,,,No,
(keep = usubjid siteid country age agegr1 agegr1n sex race randdt trt01p trt01pn ittfl),SAS Files\adam_adef.sas,,,,,,,,,,,,No,
out = adsl;,SAS Files\adam_adef.sas,,,,,,,,,,,,No,
by usubjid;,SAS Files\adam_adef.sas,,,,,,,,,,,,No,
"%include ""&path2/dtc2dt.sas"";",SAS Files\adam_adef.sas,yes,&path2/dtc2dt.sas,Yes,,,,,,,,,No,
data adef;,SAS Files\adam_adef.sas,,,,,,,,,,,,No,
merge adef (in = inadef) adsl (in = inadsl);,SAS Files\adam_adef.sas,,,,,,,"adef, (in, =, inadef), adsl, (in, =, inadsl)",,,,,No,
by usubjid ;,SAS Files\adam_adef.sas,,,,,,,,,,,,No,
if not(inadsl and inadef) then,SAS Files\adam_adef.sas,,,,,,,,,,,,No,
put 'prob' 'lem: missing subject?-- ' usubjid= inadef= inadsl= ;,SAS Files\adam_adef.sas,,,,,,,,,,,,No,
rename trt01p    = trtp,SAS Files\adam_adef.sas,,,,,,,,,,,,No,
trt01pn   = trtpn,SAS Files\adam_adef.sas,,,,,,,,,,,,No,
xptest    = param,SAS Files\adam_adef.sas,,,,,,,,,,,,No,
xptestcd  = paramcd,SAS Files\adam_adef.sas,,,,,,,,,,,,No,
visit     = avisit,SAS Files\adam_adef.sas,,,,,,,,,,,,No,
xporres   = avalc,SAS Files\adam_adef.sas,,,,,,,,,,,,No,
;,SAS Files\adam_adef.sas,,,,,,,,,,,,No,
if inadsl and inadef;,SAS Files\adam_adef.sas,,,,,,,,,,,,No,
"avisitn = input(put(visitnum, avisitn.), best.);",SAS Files\adam_adef.sas,,,,,,,,,,,,No,
"%dtc2dt(xpdtc, refdt=randdt);",SAS Files\adam_adef.sas,,,,,,dtc2dt,,,,,,No,
"retain crit1 ""pain improvement from baseline of at least 2 points"";",SAS Files\adam_adef.sas,,,,,,,,,,,,No,
"respfl = put((.z <= chg <= -2), _0n1y.);",SAS Files\adam_adef.sas,,,,,,,,,,,,No,
if respfl='y' then,SAS Files\adam_adef.sas,,,,,,,,,,,,No,
crit1fl = 'y';,SAS Files\adam_adef.sas,,,,,,,,,,,,No,
else,SAS Files\adam_adef.sas,,,,,,,,,,,,No,
crit1fl = 'n';,SAS Files\adam_adef.sas,,,,,,,,,,,,No,
run;,SAS Files\adam_adef.sas,,,,,,,,,,,,No,
data adef;,SAS Files\adam_adef.sas,,,,,,,,,,,,No,
retain &adefkeepstring;,SAS Files\adam_adef.sas,,,,,,,,,,,,No,
set empty_adef adef;,SAS Files\adam_adef.sas,,,,,,,,,,,,No,
run;,SAS Files\adam_adef.sas,,,,,,,,,,,,No,
"%include ""&path1/make_sort_order.sas"";",SAS Files\adam_adef.sas,yes,&path1/make_sort_order.sas,Yes,,,,,,,,,No,
"%make_sort_order(metadatafile=&metadatafile,dataset=adef)",SAS Files\adam_adef.sas,,,,,,make_sort_order,,,,,,No,
proc sort,SAS Files\adam_adef.sas,,,,,,,,,,,,No,
data=adef(keep = &adefkeepstring),SAS Files\adam_adef.sas,,,,,,,,,,,,No,
out=adam.adef;,SAS Files\adam_adef.sas,,,,,,,,,,,,No,
by &adefsortstring;,SAS Files\adam_adef.sas,,,,,,,,,,,,No,
run;,SAS Files\adam_adef.sas,,,,,,,,,,,,No,
%let path1=/folders/myfolders/test1;,SAS Files\adam_adsl.sas,,,,,,,,,,,,No,
%let path2=/folders/myfolders/test2;,SAS Files\adam_adsl.sas,,,,,,,,,,,,No,
"%include ""&path2/setup.sas"";",SAS Files\adam_adsl.sas,yes,&path2/setup.sas,Yes,,,,,,,,,No,
%let metadatafile=&path1/adam_metadata.xlsx;,SAS Files\adam_adsl.sas,,,,,,,,,,,,No,
"%include ""&path1/make_empty_dataset.sas"";",SAS Files\adam_adsl.sas,yes,&path1/make_empty_dataset.sas,Yes,,,,,,,,,No,
"%make_empty_dataset(metadatafile=&metadatafile, dataset=adsl)",SAS Files\adam_adsl.sas,,,,,,make_empty_dataset,,,,,,No,
"%include ""&path2/mergsupp.sas"";",SAS Files\adam_adsl.sas,yes,&path2/mergsupp.sas,Yes,,,,,,,,,No,
"%mergsupp(sourcelib=sdtm, domains=dm);",SAS Files\adam_adsl.sas,,,,,,mergsupp,,,,,,No,
"%include ""&path2/cfb.sas"";",SAS Files\adam_adsl.sas,yes,&path2/cfb.sas,Yes,,,,,,,,,No,
"%cfb(indata=sdtm.xp, outdata=responders, dayvar=xpdy, avalvar= xpstresn,",SAS Files\adam_adsl.sas,,,,,,,,,,,,No,
keepvars=usubjid visitnum chg);,SAS Files\adam_adsl.sas,,,,,,,,,,,,No,
"%include ""&path2/dtc2dt.sas"";",SAS Files\adam_adsl.sas,yes,&path2/dtc2dt.sas,Yes,,,,,,,,,No,
data adsl;,SAS Files\adam_adsl.sas,,,,,,,,,,,,No,
merge empty_adsl,SAS Files\adam_adsl.sas,,,,,,,,,,,,No,
dm         (in = indm),SAS Files\adam_adsl.sas,,,,,,,,,,,,No,
responders (in = inresp where=(visitnum=2)),SAS Files\adam_adsl.sas,,,,,,,,,,,,No,
;,SAS Files\adam_adsl.sas,,,,,,,,,,,,No,
by usubjid;,SAS Files\adam_adsl.sas,,,,,,,,,,,,No,
"%dtc2dt(rfstdtc, prefix=trts );",SAS Files\adam_adsl.sas,,,,,,dtc2dt,,,,,,No,
"%dtc2dt(brthdtc, prefix=brth);",SAS Files\adam_adsl.sas,,,,,,dtc2dt,,,,,,No,
"%dtc2dt(randdtc, prefix=rand);",SAS Files\adam_adsl.sas,,,,,,dtc2dt,,,,,,No,
"%dtc2dt(rfendtc, prefix=trte);",SAS Files\adam_adsl.sas,,,,,,dtc2dt,,,,,,No,
"ittfl = put(randdt, popfl.);",SAS Files\adam_adsl.sas,,,,,,,,,,,,No,
"saffl = put(trtsdt, popfl.);",SAS Files\adam_adsl.sas,,,,,,,,,,,,No,
trt01p = arm;,SAS Files\adam_adsl.sas,,,,,,,,,,,,No,
trt01a = trt01p;,SAS Files\adam_adsl.sas,,,,,,,,,,,,No,
"trt01pn = input(put(trt01p, $trt01pn.), best.);",SAS Files\adam_adsl.sas,,,,,,,,,,,,No,
trt01an = trt01pn;,SAS Files\adam_adsl.sas,,,,,,,,,,,,No,
"agegr1n = input(put(age, agegr1n.), best.);",SAS Files\adam_adsl.sas,,,,,,,,,,,,No,
"agegr1  = put(agegr1n, agegr1_.);",SAS Files\adam_adsl.sas,,,,,,,,,,,,No,
"respfl = put((.z <= chg <= -2), _0n1y.);",SAS Files\adam_adsl.sas,,,,,,,,,,,,No,
run;,SAS Files\adam_adsl.sas,,,,,,,,,,,,No,
"%include ""&path1/make_sort_order.sas"";",SAS Files\adam_adsl.sas,yes,&path1/make_sort_order.sas,Yes,,,,,,,,,No,
"%make_sort_order(metadatafile=&metadatafile, dataset=adsl);",SAS Files\adam_adsl.sas,,,,,,make_sort_order,,,,,,No,
proc sort,SAS Files\adam_adsl.sas,,,,,,,,,,,,No,
data=adsl,SAS Files\adam_adsl.sas,,,,,,,,,,,,No,
(keep = &adslkeepstring),SAS Files\adam_adsl.sas,,,,,,,,,,,,No,
out=adam.adsl;,SAS Files\adam_adsl.sas,,,,,,,,,,,,No,
by &adslsortstring;,SAS Files\adam_adsl.sas,,,,,,,,,,,,No,
run;,SAS Files\adam_adsl.sas,,,,,,,,,,,,No,
%let path1=/folders/myfolders/test1;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
%let path2=/folders/myfolders/test2;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
"%include ""&path2/setup.sas"";",SAS Files\adam_adtte.sas,yes,&path2/setup.sas,Yes,,,,,,,,,No,
%let metadatafile=&path1/adam_metadata.xlsx;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
"%include ""&path1/make_empty_dataset.sas"";",SAS Files\adam_adtte.sas,yes,&path1/make_empty_dataset.sas,Yes,,,,,,,,,No,
"%make_empty_dataset(metadatafile=&metadatafile, dataset=adtte)",SAS Files\adam_adtte.sas,,,,,,make_empty_dataset,,,,,,No,
proc sort,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
data = adam.adsl,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
(keep = studyid usubjid siteid country age agegr1 agegr1n sex race randdt trt01p trt01pn,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
ittfl trtedt),SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
out = adtte;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
by usubjid;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
proc sort,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
data = adam.adef,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
(keep = usubjid paramcd chg adt visitnum xpseq),SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
out = adef;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
where paramcd='xppain' and visitnum>0 and (chg<0 or chg>0);,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
by usubjid adt;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
data adef;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
set adef;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
by usubjid adt;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
drop paramcd visitnum;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
if first.usubjid;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
run;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
proc sort,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
data = adam.adae,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
(keep = usubjid cq01nam astdt trtemfl aeseq),SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
out = adae;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
where cq01nam ne '' and trtemfl='y';,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
by usubjid astdt;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
run;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
data adae;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
set adae;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
by usubjid astdt;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
if first.usubjid;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
run;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
proc sort,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
data = sdtm.ex,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
(keep = usubjid exseq),SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
out = lstex,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
nodupkey;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
by usubjid exseq;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
data lstex;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
set lstex;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
by usubjid exseq;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
if last.usubjid;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
data adtte;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
merge adtte (in = inadtte rename=(randdt=startdt)),SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
adef  (in = inadef),SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
adae  (in = inadae),SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
lstex (in = inlstex),SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
by usubjid ;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
"retain param ""time to first pain relief"" paramcd ""ttpnrelf"";",SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
rename trt01p    = trtp,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
trt01pn   = trtpn,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
length srcvar $10. srcdom $4.;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
if (.<chg<0) and (adt<astdt or not inadae) then,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
do;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
cnsr = 0;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
adt  = adt;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
"evntdesc = put(cnsr, evntdesc.) ;",SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
srcdom = 'adef';,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
srcvar = 'xpdy';,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
srcseq = xpseq;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
end;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
else if chg>0 and (adt<astdt or not inadae) then,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
do;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
cnsr = 1;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
adt  = adt;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
"evntdesc = put(cnsr, evntdesc.) ;",SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
srcdom = 'xp';,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
srcvar = 'xpdy';,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
srcseq = xpseq;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
end;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
else if (.<astdt<adt) then,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
do;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
cnsr = 2;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
adt  = astdt;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
"evntdesc = put(cnsr, evntdesc.) ;",SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
srcdom = 'adae';,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
srcvar = 'astdy';,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
srcseq = aeseq;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
end;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
else,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
do;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
cnsr = 3;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
adt  = trtedt;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
"evntdesc = put(cnsr, evntdesc.) ;",SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
srcdom = 'adsl';,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
srcvar = 'trtedt';,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
srcseq = .;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
end;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
aval = adt - startdt + 1;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
format startdt adt yymmdd10.;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
run;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
data adtte;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
retain &adttekeepstring;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
set empty_adtte adtte;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
run;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
"%include ""&path1/make_sort_order.sas"";",SAS Files\adam_adtte.sas,yes,&path1/make_sort_order.sas,Yes,,,,,,,,,No,
"%make_sort_order(metadatafile=&metadatafile, dataset=adtte)",SAS Files\adam_adtte.sas,,,,,,make_sort_order,,,,,,No,
proc sort,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
data=adtte(keep = &adttekeepstring),SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
out=adam.adtte;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
by &adttesortstring;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
run;,SAS Files\adam_adtte.sas,,,,,,,,,,,,No,
%include '/folders/myfolders/test1/common.sas';,SAS Files\ae.sas,yes,/folders/myfolders/test1/common.sas,No,,,,,,,,,No,
%common;,SAS Files\ae.sas,,,,,,,,,,,,No,
options validvarname=any;,SAS Files\ae.sas,,,,,,,,,,,,No,
/* if the input file is txt format*/,SAS Files\ae.sas,,,,,,,,,,,,No,
"/*if the input file is excel format. note the raw data should use space, not dot, for missing number*/",SAS Files\ae.sas,,,,,,,,,,,,No,
proc import out=temp,SAS Files\ae.sas,,,,,,,,,,,,No,
"datafile=""/folders/myfolders/test1/ae.xlsx""",SAS Files\ae.sas,,,,,,,,,,,,No,
dbms=xlsx replace;,SAS Files\ae.sas,,,,,,,,,,,,No,
getnames=no;,SAS Files\ae.sas,,,,,,,,,,,,No,
sheet='sheet1';,SAS Files\ae.sas,,,,,,,,,,,,No,
run;,SAS Files\ae.sas,,,,,,,,,,,,No,
proc format;,SAS Files\ae.sas,,,,,,,,,,,,No,
value aerel,SAS Files\ae.sas,,,,,,,,,,,,No,
"1=""not""",SAS Files\ae.sas,,,,,,,,,,,,No,
"2=""possibly""",SAS Files\ae.sas,,,,,,,,,,,,No,
"3=""probably"";",SAS Files\ae.sas,,,,,,,,,,,,No,
value aesev,SAS Files\ae.sas,,,,,,,,,,,,No,
"1=""mild""",SAS Files\ae.sas,,,,,,,,,,,,No,
"2=""moderate""",SAS Files\ae.sas,,,,,,,,,,,,No,
"3=""severe"";",SAS Files\ae.sas,,,,,,,,,,,,No,
value aeacn,SAS Files\ae.sas,,,,,,,,,,,,No,
"1=""drug stopped""",SAS Files\ae.sas,,,,,,,,,,,,No,
"2=""dose reduced""",SAS Files\ae.sas,,,,,,,,,,,,No,
"3=""dose increased""",SAS Files\ae.sas,,,,,,,,,,,,No,
"4=""no dose change""",SAS Files\ae.sas,,,,,,,,,,,,No,
"5=""unknown"";",SAS Files\ae.sas,,,,,,,,,,,,No,
run;,SAS Files\ae.sas,,,,,,,,,,,,No,
data source.adverse;,SAS Files\ae.sas,,,,,,,,adverse,,,source.adverse,Yes,Yes
set temp (rename=(a=subject b=_aerel c=_aesev d=aeaction e=aestart f=aeend g=bodysys h=prefterm i=aetext));,SAS Files\ae.sas,,,,,,,,,,,,No,
"label subject  = ""subject number""",SAS Files\ae.sas,,,,,,,,,,,,No,
"bodysys = ""body system of event""",SAS Files\ae.sas,,,,,,,,,,,,No,
"prefterm  = ""preferred term for event""",SAS Files\ae.sas,,,,,,,,,,,,No,
"aerel    = ""relatedness: 1=not,2=possibly,3=probably""",SAS Files\ae.sas,,,,,,,,,,,,No,
"aesev    = ""severity/intensity:1=mild,2=moderate,3=severe""",SAS Files\ae.sas,,,,,,,,,,,,No,
"aeaction = ""action taken: 1=drug stopped, 2=dose reduced, 3=dose increased, 4=no dose change, 5=unknown""",SAS Files\ae.sas,,,,,,,,,,,,No,
"aestart  = ""ae start date""",SAS Files\ae.sas,,,,,,,,,,,,No,
"aeend    = ""ae end date""",SAS Files\ae.sas,,,,,,,,,,,,No,
"aeser  = ""serious ae?""",SAS Files\ae.sas,,,,,,,,,,,,No,
"aetext   = ""event verbatim text""",SAS Files\ae.sas,,,,,,,,,,,,No,
"uniqueid = ""company wide subject id"";",SAS Files\ae.sas,,,,,,,,,,,,No,
"uniqueid = 'uni' || put(subject,3.);",SAS Files\ae.sas,,,,,,,,,,,,No,
usubjid = left(uniqueid);,SAS Files\ae.sas,,,,,,,,,,,,No,
aeterm = left(aetext);,SAS Files\ae.sas,,,,,,,,,,,,No,
aedecod = left(prefterm);,SAS Files\ae.sas,,,,,,,,,,,,No,
aebodsys = left(bodysys);,SAS Files\ae.sas,,,,,,,,,,,,No,
"aesev = put(_aesev,aesev.);",SAS Files\ae.sas,,,,,,,,,,,,No,
"aeacn = put(aeaction,aeacn.);",SAS Files\ae.sas,,,,,,,,,,,,No,
"aerel = put(_aerel,aerel.);",SAS Files\ae.sas,,,,,,,,,,,,No,
"aestdtc = put(aestart,yymmdd10.);",SAS Files\ae.sas,,,,,,,,,,,,No,
"aeendtc = put(aeend,yymmdd10.);",SAS Files\ae.sas,,,,,,,,,,,,No,
aeser = 'n';,SAS Files\ae.sas,,,,,,,,,,,,No,
run;,SAS Files\ae.sas,,,,,,,,,,,,No,
/*examine data types of the input data*/,SAS Files\ae.sas,,,,,,,,,,,,No,
proc contents data=source.adverse;,SAS Files\ae.sas,,,,,,,,,,,,No,
run;,SAS Files\ae.sas,,,,,,,,,,,,No,
proc print data=source.adverse;,SAS Files\ae.sas,,,,,,,,,,,,No,
run;,SAS Files\ae.sas,,,,,,,,,,,,No,
"%macro cfb(indata= ,outdata= ,avalvar= ,dayvar= ,keepvars= );",SAS Files\cfb.sas,,,,,cfb,,,,,,,No,
proc sort,SAS Files\cfb.sas,,,,,,,,,,,,No,
data = &indata,SAS Files\cfb.sas,,,,,,,,,,,,No,
out = &outdata (rename = (&avalvar = aval));,SAS Files\cfb.sas,,,,,,,,,,,,No,
by usubjid visitnum;,SAS Files\cfb.sas,,,,,,,,,,,,No,
run;,SAS Files\cfb.sas,,,,,,,,,,,,No,
data base1 (keep = usubjid visitnum) base2 (keep = usubjid base);,SAS Files\cfb.sas,,,,,,,,,,,,No,
set &outdata;,SAS Files\cfb.sas,,,,,,,,,,,,No,
where &dayvar<=1 and aval > .z;,SAS Files\cfb.sas,,,,,,,,,,,,No,
by usubjid visitnum;,SAS Files\cfb.sas,,,,,,,,,,,,No,
rename aval = base;,SAS Files\cfb.sas,,,,,,,,,,,,No,
